name,address,lat,lng
Louisiana / Pearl Light Rail,"755 East Louisiana Avenue Denver, Colorado",39.6930799845904,-104.978386837254
Louisiana & Franklin,"1700 E. Louisiana Ave Denver, CO 80210",39.6928472,-104.9685468
Market Street Station,"1610 Market Street Denver, CO 80202",39.7499823447487,-104.998023540335
Park Ave West & Tremont,"370 Park Avenue West Denver, CO 80205",39.7496486,-104.9807751
Pepsi Center,"1000 Chopper Circle Denver, CO 80204",39.748682,-105.007539245975
REI,"1416 Platte St Denver, CO 80202",39.7550724,-105.0092995
Union Station Light Rail at 17th,"2051 16th St Denver, CO 80202",39.7540703,-105.0034969
Webb Building,"201 W. Colfax Denver, CO 80202",39.7407867,-104.990063630885
Broadway & Walnut,"2490 N. Broadway St Denver, CO 80205", 39.7577617,-104.987740963334
1st & Broadway,"99 Broadway St Denver, CO 80202",39.7179749,-104.987867
